norm_title,description,sentiment_score,violence_flag,genres,audience_group
desolation,"Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked.",0.6249,0,"('horror', 'thriller')",
detour,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal.",-0.5994,1,"('thriller',)",
deviant love,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.",-0.25,0,"('thriller',)",
dexter,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",-0.9313,1,"('drama',)",
diana 7 days that shook the world,"This illuminating documentary examines the aftermath of Princess Diana’s tragic death and the tense, dramatic week leading up to her funeral.",-0.8957,1,"('documentary',)",
diana in her own words,"Featuring archival footage and personal recordings, this documentary offers candid insight into the life of the beloved princess.",0.5106,0,"('documentary',)",
die another day,Pierce Brosnan's final outing as 007 finds James Bond facing off against a North Korean terrorist who's in league with a British diamond merchant.,-0.5106,1,"('action',)",
dinner for schmucks,The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.,-0.7506,0,"('comedy',)",
dino hunt,"Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.",0.2023,0,"('documentary',)",
discovering bigfoot,"Follow Todd Standing, Dr. Jeff Meldrum and other researchers into the wilderness, where they try to capture definitive proof of Sasquatch's existence.",0.0,0,"('documentary',)",
dismissed,An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesn't get the grade he believes he deserves.,0.5647,0,"('thriller',)",
district 9,"After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.",-0.4588,0,"('action', 'sci-fi')",
doctor zhivago,A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.,0.128,0,"('drama', 'romance')",
dog eat dog,A delusional ex-con rejoins his unhinged former partners for one last job: kidnap the baby of a mobster's enemy for ransom.,-0.5423,0,"('drama', 'thriller')",
domino,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",-0.4588,1,"('thriller',)",
don quixote the ingenious gentleman of la mancha,"In this modern adaptation of a Spanish classic, an eccentric, elderly gentleman sets out with his honest sidekick to right the wrongs of the world.",0.5106,0,"('comedy',)",
don verdean,"A questionable character working as a self-styled ""biblical archaeologist"" advances his cause by creating phony religious artifacts.",0.0,0,"('comedy',)",
dont be afraid of the dark,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there – and they might not be as friendly as Sally thinks.,-0.3995,0,"('horror',)",
dont crack under pressure,"There are risks. Then there are risk-takers. In an around-the-world trip, follow athletes perform jaw-dropping acts in unpredictable elements of nature.",-0.2732,0,"('action', 'documentary')",
dont look down,"Aided by dramatic reconstructions and archive footage, Sir Richard Branson recounts his daring attempts to break hot air balloon records.",0.3612,0,"('documentary',)",
dont think twice,Six talented but struggling improv comics see a sudden shift in their troupe's dynamic after one of them lands a much-coveted gig on television.,0.2144,0,"('comedy', 'drama')",
donnie brasco,"When FBI agent Joe Pistone goes undercover to infiltrate the mob, he starts to identify with the made men he's charged with taking down.",-0.2023,0,"('drama', 'thriller')",
down the fence,"The human-equine bond propels the unique and challenging sport of reined cow horse, in which dedicated trainers compete for the national championship.",0.7579,0,"('documentary',)",
dr seuss the cat in the hat,"While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes.""",-0.2732,0,"('comedy',)",
dr seuss the grinch,A grump with a mean streak plots to bring Christmas to a halt in the cheerful town of Whoville. But a generous little girl could change his heart.,0.7717,0,"('comedy',)",
dragonheart battle for the heartfire,"When the king of Brittania dies, the dragon who shares his heart must find a new ruler, but the monarch's grandchildren go to war over the throne.",-0.6956,1,"('action', 'sci-fi')",
dramaworld,"A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator.""",0.765,0,"('comedy', 'drama', 'romance')",
dream big engineering our world,"Narrated by Jeff Bridges, this compelling documentary examines some incredible achievements of engineering from across the globe.",0.2789,0,"('documentary',)",
dream boat,"On a cruise for gay men, five passengers of different nationalities take a break from their families and cultures to party and reflect on life.",0.4019,0,"('documentary',)",
dries,This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.,0.7269,0,"('documentary',)",
driven to dance,"A young dancer grapples with her dream to join a famed ballet company against the wishes of her mother, who pushes her to pursue a more practical path.",0.5859,0,"('drama',)",
drugs inc,"This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",0.0,0,"('documentary',)",
dumb and dumberer when harry met lloyd,This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.,0.5994,0,"('comedy',)",
ecigarettes miracle or menace,This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.,0.4576,0,"('documentary',)",
earth to echo,"When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones.",0.2023,0,"('sci-fi',)",
earths natural wonders,Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,-0.796,0,"('documentary',)",
earths natural wonders life at the extremes,"From the Arctic to the Outback, humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.",-0.3818,0,"('documentary',)",
easy a,"When a lie about Olive's reputation transforms her from anonymous to infamous at her high school, she decides to embrace a provocative new persona.",0.3182,0,"('comedy', 'romance')",
easy fortune happy life,"Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",0.3612,0,"('comedy', 'romance')",
eat pray love,"After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",0.872,0,"('drama', 'romance')",
eeda,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,-0.2263,1,"('drama', 'romance')",
ek cup chya,A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.,-0.4767,0,"('drama',)",
ek hasina thi,"Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",0.3612,1,"('drama', 'thriller')",
el che,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",0.0,0,"('documentary',)",
el clon,"Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone.",0.0129,1,"('drama', 'romance')",
el fin de eta,"This documentary chronicles the decade-long process that led to the end of the ETA, a Basque terrorist group that operated for more than 50 years.",-0.6908,1,"('documentary',)",
el vato,"Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.",0.3612,0,"('comedy',)",
el viaje márama y rombai,Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,0.6124,0,"('documentary',)",
elizabeth at 90 a family tribute,A blend of the royal family's intimate recollections and rarely seen home movies pays tribute to Queen Elizabeth II on the eve of her 90th birthday.,0.0,0,"('documentary',)",
elizabeth harvest,"When a young newlywed enters the one chamber in her husband’s mansion that’s off-limits, she faces the horrifying consequences of defying the rules.",-0.5719,0,"('drama', 'sci-fi')",
elles étaient en guerre,Trace the overlapping journeys of exceptional women swept up in World War I and hear their tales of bravery on history's front lines.,-0.1779,1,"('documentary',)",
elles étaient en guerre 19391945,"Mothers, nurses, soldiers and deportees – these women fought against persecution for freedom and survival amid the turbulence of World War II.",-0.25,1,"('documentary',)",
elles ont toutes une histoire,"From Asia, Africa and Latin America, five women share extraordinary stories of strength and determination in the face of violence and inequality.",0.4588,1,"('documentary',)",
elstree 1976,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",-0.5574,1,"('documentary',)",
emelie,"A suburban couple hires a new sitter to watch their three kids for the night, unaware that the young woman isn't who she claims to be.",-0.2023,1,"('horror', 'thriller')",
empire of scents,This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.,0.0,0,"('documentary',)",
employee of the month,Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,0.2263,1,"('comedy', 'romance')",
encerrados,"This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally.",0.0,0,"('comedy',)",
encounters with evil,"This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.",-0.3818,1,"('documentary',)",
enemigo íntimo,"Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",-0.9246,1,"('drama',)",
enemy,"When a humdrum academic spots his double in a movie, he launches a search that leads him to a small-time actor who looks exactly like him.",0.3612,0,"('thriller',)",
enlighten us,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.,0.0,1,"('documentary',)",
entanglement,"After his ailing father makes a shocking confession, a desperately depressed man sets out to find the woman he believes will change his destiny.",-0.8225,0,"('drama', 'romance')",
enter the dragon,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",-0.91,1,"('action',)",
escape from the liberty cinema,"Artistic rebellion ignites at the movies when film characters suddenly speak freely to the audience, prompting a surly censor to combat the uprising.",-0.4588,0,"('comedy', 'drama')",
estar o no estar,"An ill and addled man recalls what seems to be a brief but powerful past romance with a kindred spirit, a young Russian woman who lived a lonely life.",0.7579,0,"('drama', 'romance')",
ethirmarai,"While investigating a brutal string of deaths, a detective begins to suspect that mind control may have played a part in the murders.",-0.836,1,"('thriller',)",
evan almighty,"God summons narcissistic Evan to build an ark in preparation for a flood. Meanwhile, Evan's family interprets his new hobby as a midlife crisis.",-0.4588,0,"('comedy',)",
every time i die,"After a paramedic’s violent death during a weekend trip, his spirit inhabits his friends’ bodies in an effort to save them from a similar fate.",-0.5994,1,"('drama', 'thriller')",
everybody knows,"Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.",-0.5106,0,"('drama', 'thriller')",
everyday miracles,Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.,0.5563,0,"('documentary',)",
exboyfriend,"Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart.",0.2732,0,"('comedy', 'romance')",
exit afghanistan,"Featuring interviews with participants on all sides, this documentary questions Norway and the West's protracted military involvement in Afghanistan.",0.0,0,"('documentary',)",
extras,"Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras.",0.0,0,"('comedy',)",
eyyvah eyyvah,"A clarinet player who lives with his grandparents in a small village is forced to move to Istanbul, where he meets a singer enjoying sudden fame.",0.5106,0,"('comedy',)",
eyyvah eyyvah 2,"Hüseyin has found his father, and now has one more mission – to get together with the girl of his dreams, with a little help from his new friend.",0.8078,0,"('comedy', 'romance')",
eyyvah eyyvah 3,"Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame.",0.9153,0,"('comedy',)",
ezel,A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,-0.9442,1,"('drama',)",
f the prom,"Maddy and Cole were inseparable before high school. Then she got popular; he didn't. But after Maddy is betrayed, she and Cole reunite – to ruin prom.",-0.8957,0,"('comedy', 'romance')",
fake or fortune,Fiona Bruce and Philip Mould use investigative skills and scientific techniques to determine if paintings are real or just impressive forgeries.,0.5106,1,"('documentary',)",
fakta ladh mhana,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician.",0.5719,1,"('action', 'drama')",
fall girls,"Following a night of hard partying that left their tycoon boss dead, four women try to keep it a secret in hopes of closing a billion-dollar deal.",-0.0772,0,"('comedy',)",
fallen,A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.,-0.9324,1,"('thriller',)",
famous in ahmedabad,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.,0.7906,0,"('documentary',)",
fanatic,"When a successful young rap star has an affair with an obsessive fan, his life is turned upside down when she kidnaps him.",0.6369,0,"('thriller',)",
farce,"A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon.",0.5859,0,"('comedy',)",
fear and loathing in las vegas,A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.,0.4588,0,"('comedy', 'drama')",
fear files har mod pe darr,"Possessed lovers, witches, haunted houses and more bring tales of horror to the screen in this anthology series.",-0.5267,0,"('horror', 'thriller')",
feel rich,"Talking squarely to the hip-hop generation, musicians, athletes and others outline the benefits of exercise, a healthy diet and spiritual wellness.",0.802,0,"('documentary',)",
fiddler on the roof,"This adaptation of the musical chronicles the trials of a Jewish peasant, his wife, and their three strong-willed daughters in pre-revolutionary Russia.",0.0,0,"('drama',)",
figaro pho,Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.,-0.5994,0,"('comedy',)",
figures of speech,"In this documentary, passionate high schoolers travel the country and come of age during a turbulent yearlong prep for a national speech competition.",0.5267,0,"('documentary',)",
filinta,"In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him.",0.7717,1,"('action',)",
filmworker,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.,0.3182,0,"('documentary',)",
final destination,"After narrowly avoiding a fatal plane explosion, a group of seemingly lucky teen classmates finds that Death is not so easily cheated.",-0.7689,1,"('horror', 'thriller')",
final destination 2,"On a road trip with friends, Kimberly has a premonition that saves everyone from a freak accident. More terrifying visions prompt her to seek help.",-0.4615,0,"('horror', 'thriller')",
fire at sea,"Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year.",-0.2732,0,"('documentary',)",
first impression,"Unaware they’ve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance.",0.7717,1,"('comedy', 'romance')",
fishpeople,"In this exploration of the life-changing power of the ocean, six people from very different backgrounds find purpose and meaning in the sea.",0.2263,0,"('documentary',)",
fittest in dubai,Top athletes from around the globe test their fitness in a four-day competition at the first-ever CrossFit Sanctional event. Let the games begin.,0.4404,0,"('documentary',)",
flimflam,"Nosy family in tow, a fun-loving bachelor goes on a romantic getaway, but he ends up pretending to be married to a complete stranger to avoid trouble.",-0.5994,0,"('comedy',)",
flock of four,"One night in 1959, four young musicians venture from Pasadena to South-Central Los Angeles in the hopes of hearing a living jazz legend play.",0.6369,0,"('drama',)",
follow me,"Aspiring to be an internet celebrity and make big bucks, a filmmaker travels the world to learn the tricks of the trade from social media influencers.",-0.128,0,"('documentary',)",
food delicious science,"In this series, TV presenter Michael Mosley and botanist James Wong explore the physics, chemistry and biology inside every bite of food we eat.",0.0,0,"('documentary',)",
footprints the path of your life,"This documentary follows 10 men who agree to walk the Camino de Santiago, a 500-mile, 40-day trek that will challenge their strength and faith.",0.8316,0,"('documentary',)",
for grace,"As chef Curtis Duffy oversees every aspect of opening his own restaurant, Grace, he recalls his turbulent childhood and difficult adult relationships.",0.0772,0,"('documentary',)",
for love or money,"When a goofy but likable millionaire discovers his fiancée’s plan to steal his wealth, he devises an unromantic scheme to make her life a living hell.",-0.8126,0,"('comedy',)",
for the birds,"A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family.",0.4588,0,"('documentary',)",
forbidden games the justin fashanu story,"This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer.",0.296,0,"('documentary',)",
forces of nature,"This dynamic series spans the globe to explain the complex natural forces that govern the planet, from shape and color to motion and the elements.",0.6249,0,"('documentary',)",
forever chape,"In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.",-0.4019,0,"('documentary',)",
forever pure,The furor over the addition of two Muslim players to the Beitar Jerusalem soccer club underscores the role of institutionalized racism in Israel.,-0.6249,0,"('documentary',)",
forget me not,"Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?",-0.8271,0,"('drama',)",
forks over knives,"According to the research of two food scientists, the popularity of processed foods has led to epidemic rates of obesity, diabetes and other diseases.",0.4767,0,"('documentary',)",
four christmases,A dating couple is forced to spend their first Christmas together visiting each of their four divorced parents – in a single day.,-0.4588,0,"('comedy', 'romance')",
four weddings and a funeral,"A commitment-phobic Brit tries to reconnect with an alluring American who's about to make a seemingly awful mistake by marrying a wealthy, boring man.",-0.6369,0,"('comedy',)",
fracture,"Ted Crawford, who allegedly attempted to murder his wife, is now locked in a battle of wits with a young assistant district attorney.",-0.8074,1,"('drama', 'thriller')",
frances ha,"Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.",0.8795,0,"('comedy', 'drama')",
frasier,Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.,0.4497,0,"('comedy',)",
freak show,"Forced to attend a new high school, a glamorous teen navigates hostile territory before taking a stand by running for homecoming queen.",-0.3182,0,"('comedy', 'drama')",
fred claus,The holiday season is ruined for Santa Claus when his cranky older brother – a repo man with a sizable rap sheet – visits him at the North Pole.,-0.1027,0,"('comedy',)",
freeway crack in the system,"Take in the true account of drug kingpin ""Freeway"" Rick Ross's empire and how the CIA helped him fuel America's  devastating crack cocaine epidemic.",-0.3612,0,"('documentary',)",
freezers campaign,"When climate change makes Egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost.",0.5106,0,"('comedy',)",
french dirty,"An aimless, unemployed millennial hangs out with his pals and resists growing up, until an affair with his best friend's girl forces him to change.",0.7096,0,"('drama',)",
friday night tykes,"This docuseries dives into the cutthroat world of Texas youth football, where kids face grueling demands and pressure from coaches and parents to win.",0.3818,0,"('documentary',)",
friday the 13th,"A group of teenage camp counselors raises the ire of Jason Voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick.",-0.4767,0,"('horror',)",
friends,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",0.8271,0,"('comedy',)",
from japan to egypt,"After his wife relocates to her home country of Japan, an Egyptian man – and father of two rambunctious kids – tries to win her back.",0.5859,0,"('comedy', 'drama')",
from paris with love,A low-level intelligence agent gets pulled into action and espionage above his pay grade when he's ordered to assist a trigger-happy senior agent.,0.4019,0,"('action',)",
froning the fittest man in history,Follow the grueling training regimen of Rich Froning Jr. as he sets his sights on winning an unprecedented fourth CrossFit Games title.,0.7906,0,"('documentary',)",
frozen planet,Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.,0.3818,0,"('documentary',)",
frozen river,"On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States.",-0.7579,0,"('drama',)",
functional fitness,"This documentary explores the challenging, transformative world of high-intensity fitness programs through the eyes of the people who've embraced them.",0.4019,0,"('documentary',)",
furthest witness,"Kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe.",-0.5423,1,"('drama', 'thriller')",
gforce,"When a billionaire sets out to take over the world, only one special forces unit can handle the job – a squad of highly trained guinea pigs.",0.4019,0,"('comedy',)",
gabriel and the mountain,"In a drama based on a true story, Brazilian backpacker Gabriel Buchmann spends his gap year exploring Africa. Why does he die in the Malawi mountains?",-0.2732,0,"('drama',)",
gagarin first in space,This biopic of Russian cosmonaut Yuri Gagarin follows his rise from childhood poverty to his selection and training for the 1961 Vostok mission.,-0.5106,0,"('drama',)",
galavant,"In a time of legend, Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy.",0.891,0,"('action', 'comedy')",
galih dan ratna,Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.,0.7003,0,"('drama', 'romance')",
game winning hit,An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.,-0.0772,1,"('comedy', 'drama')",
gangs of hassepur,"Training a keen eye on hot-button political topics, this variety show features stand-up comedy, sketches and sarcastic celebrity impersonations.",0.4588,0,"('comedy',)",
gangs of new york,"In the crime-ridden slums of New York in the 1860s, vengeful orphan Amsterdam Vallon joins the cutthroat gang of his father's killer, Bill the Butcher.",-0.6486,1,"('drama',)",
garuda di dadaku,"A determined boy will do anything to become a great soccer player, despite the wishes of his grandfather.",0.7232,0,"('drama',)",
garuda in my heart 2,A young soccer player sets out to prove he can lead his team to a championship – but being a winner is about more than just talent.,0.9051,0,"('drama',)",
gehenna where death lives,Developers looking for a location to build a resort on Saipan stumble into a subterranean bunker from WWII where an evil force lies in wait.,-0.802,0,"('horror', 'thriller')",
gelo,A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.,-0.5994,0,"('drama',)",
gemini,"Despite growing up with traits that set her apart from her peers, a young adopted girl discovers her gift when she takes an interest in spelling bees.",0.6577,0,"('drama',)",
gender revolution a journey with katie couric,"Katie Couric explores our evolving understanding of gender identity, speaking with transgender and intersex individuals about their experiences.",0.0,0,"('documentary',)",
genius of the ancient world,"Historian Bettany Hughes travels to India, Greece and China to explore the lives and times of Buddha, Socrates and Confucius.",0.0,0,"('documentary',)",
genius of the modern world,"Historian Bettany Hughes explores the intellectual landscapes that helped shape the work of Karl Marx, Friedrich Nietzsche and Sigmund Freud.",0.5106,0,"('documentary',)",
gentlemen and gangsters,"Now on the run, a writer relates his previous year's escapades when he got sucked into the thrilling, sordid orbit of boxer and jazz man Henry Morgan.",0.0258,0,"('romance',)",
george of the jungle 2,"Now married and raising a son, clumsy ape-man George finds his jungle kingdom in peril as Really Mean Lion challenges him for the throne.",-0.2815,0,"('comedy',)",
geronimo stilton,"With the help of brainy and adventurous sidekicks, New Mouse City's favorite journalist investigates mysteries that take him around the world,",0.7964,0,"('comedy',)",
get him to the greek,Ambitious young record company intern Aaron must escort an unruly rock star to Los Angeles for the start of his anniversary concert.,0.4767,0,"('comedy',)",
get santa,"When Santa gets arrested for trespassing after crashing his sleigh, it's up to a father-son team to spring him from jail and save Christmas.",0.0258,0,"('comedy',)",
get shorty,Organized crime enforcer Miles Daly strives to reinvent himself as a Hollywood filmmaker in this satire based on Elmore Leonard's best-selling novel.,-0.296,1,"('comedy', 'drama')",
getting played,"Tired of dealing with boyfriends who wrong them, gal pals Lauren, Emily and Andrea decide to turn the tables and become the players themselves.",-0.7184,0,"('comedy', 'romance')",
gie,Indonesian activist Soe Hok Gie experiences a political awakening during the tumultuous regimes of Suharto and Sukarno. Inspired by true events.,0.7184,0,"('drama',)",
gigi,Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.,0.8625,0,"('comedy',)",
ginger rosa,"With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart.",-0.4215,1,"('drama',)",
girl boy bakla tomboy,"Quadruplets separated as babies reunite in Manila when one needs a liver transplant, but long-held family resentments threaten to derail everything.",-0.8765,0,"('comedy',)",
glowing embers,"Amid Malaysia's charcoal industry, a woman deftly adapts to her environs as she juggles three men in her life: her husband, her lover and her friend.",0.7906,0,"('drama',)",
god bless the broken road,"After a young mother is widowed by war, her faith is tested as she struggles to stay afloat financially and raise her daughter.",-0.7717,1,"('drama',)",
god knows where i am,"Through diary entries, this documentary follows the life and death of homeless woman Linda Bishop and her struggles with starvation, sanity and God.",-0.6486,1,"('documentary',)",
gods not dead,A spiritual college student clashes with an atheistic professor who insists that students will only pass his class by admitting that God is dead.,-0.4939,0,"('drama',)",
gods not dead a light in darkness,"After a fire breaks out at his church, a pastor faces a legal battle against university leaders who wish to push the congregation off the campus.",-0.2023,0,"('drama',)",
gods own country,"In Yorkshire, a withdrawn gay farmer begins a torrid affair with a Romanian migrant worker who shows him the depths of his capacity for affection.",0.5267,0,"('drama',)",
gol maal,"When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother.",-0.1027,0,"('comedy',)",
goldeneye,"Pierce Brosnan takes his first turn as debonair secret agent James Bond, who investigates the destruction of a Russian satellite weapons base.",-0.7003,1,"('action',)",
goldie,"When a bold teen mounts a gritty pursuit to dance in a music video, she must also evade child services so she can keep her younger sisters together.",0.3818,0,"('drama',)",
goldstone,"In the Australian outback, an Indigenous cop on a missing persons case unearths a trafficking ring and runs afoul of political-industrial interests.",-0.0516,0,"('thriller',)",
golmaal fun unlimited,"Between thwarting crooks and wooing the belle next door, four pranksters get in over their heads when they bamboozle their way into a couple’s bungalow.",-0.4939,1,"('comedy',)",
gomorrah,"Mafia activity in Naples is at the center of this series, which focuses on internal struggles that follow after the head of a family is imprisoned.",-0.6705,0,"('drama',)",
gonul,"A nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. She later finds love again, but a car accident changes everything.",-0.3182,0,"('drama', 'thriller')",
good kids,Four overachieving friends spend the summer after finishing high school doing everything possible to enjoy the party life and ruin their reputations.,0.6369,0,"('comedy',)",
good kill,"As Tommy Egan pilots armed drones over Afghanistan from the safe comfort of Las Vegas, the remote nature of his work begins to raise moral questions.",0.6597,0,"('drama',)",
good kisser,"Hoping to give their relationship a boost, Jenna and Kate arrange to spend an evening with a third woman, but things take a turn once the sparks fly.",0.4118,0,"('comedy', 'drama')",
good luck,"Seeking an apartment to share with his wife, an apolitical man starts to question his own modest goals as revolution swirls around him.",0.296,0,"('drama',)",
good night and good luck,Veteran television newsman Edward R. Murrow faces off against Sen. Joseph McCarthy and his crusade to quell the threat of communism in America.,-0.5267,1,"('drama',)",
good people,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,-0.8651,1,"('action', 'thriller')",
goodfellas,Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family – a high-rolling dream turned paranoid nightmare.,-0.8126,1,"('drama',)",
gook,"Amidst the looting and chaos of the LA riots, two Korean-American brothers fight to save their struggling shoe store while contemplating their future.",-0.8481,1,"('drama',)",
goon,"When he's seen dispatching a rude opposing hockey player in the stands, Doug Glatt is hired by a rival team ... for his fighting skills.",-0.6705,1,"('comedy',)",
goosebumps 2 haunted halloween,"Three teens spend their Halloween trying to stop a magical book, which brings characters from the ""Goosebumps"" novels to life.",-0.296,0,"('comedy',)",
gosford park,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",-0.4404,1,"('comedy', 'drama')",
gossip girl,A group of hyperprivileged Manhattan private-school kids seem to get away with everything. Except an anonymous blogger is watching their every move.,0.0,0,"('drama',)",
gothika,"After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her.",-0.7269,0,"('horror', 'thriller')",
gour hari dastaan the freedom file,A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.,0.6908,1,"('drama',)",
gran torino,A newly widowed Korean War veteran faces his racism and his past when the son of the Hmong family next door tries to steal his beloved 1972 Gran Torino.,-0.9001,1,"('drama',)",
grand hotel,"To learn the truth about his sister's mysterious disappearance, a young man infiltrates a hotel in the guise of a footman and begins an investigation.",0.3182,0,"('romance',)",
grand masti,"Leaving their wives at home, three randy friends look forward to some raunchy extramarital fun at their college reunion.",0.7506,1,"('comedy',)",
grass,Good girl Cam recruits her pot-loving bestie Jinky to help deliver a backpack full of weed for her drug-dealing fiancé.,0.6808,0,"('comedy',)",
