norm_title,description,audience_group,genres,sentiment_score,violence_flag,label
3 seconds divorce,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",child,['documentary'],-0.2263,0,1
my little pony equestria girls rainbow rocks,"['Rainbow Dash, Applejack, Pinkie Pie, Curio and Fluttershy design to execute with their unexampled stria at the Canterlot High musical case.']",child,['comedy'],0.0,0,1
winslow boy,"[""When a young boy claim atomic number 2 be expelled for something he didn ' thyroxin do, his father of the church sacrifices everything to defend his family ' s honor. Based on Terence Rattigan ' s keep play, adapt and directed byDavid Mamet.""]",child,"['drama', 'romance']",0.8074,0,1
saeed mirza the leftist sufi,This documentary profiles the celebrated Hindi film director known as much for his embrace of leftist politics and social concerns as lyrical cinema.,adult,['documentary'],0.7184,0,0
rounders,"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.",adult,['drama'],-0.4019,0,0
knockdown,"A former American Boxer now exiled in Bangkok, is forced to confront his violent past after meeting a mysterious fight fan from his hometown.",adult,['action'],-0.836,1,0
making the witcher,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series.",adult,['documentary'],0.0,0,0
dance academy the comeback,"In this adaptation of the TV series, Tara recovers from injury and pursues a career in the U.S., where she grapples with love and professional rejection.",child,['drama'],-0.2732,0,1
our planet behind the scenes,"[""Geezerhood spend recording footage of beast from every corner of the earth is spring to produce a bit of drama. Here ' s a backside - the - scenes look.""]",child,['documentary'],0.0,0,1
incredible stories of bimi boo and friends,For the curious puppy Bimi Boo the world is an incredible place with so much to do and learn. He and his very diverse group of friends are constantly pulled into amusing adventures to find answers to their most pressing questions.,child,['action'],0.8555,0,1
man without gravity,A gravity-defying boy raised in seclusion matures into an extraordinary man – and an international celebrity – who longs for human connection.,adult,['drama'],0.0,0,0
tarung sarung,"[""Wealthy and bumble, a unseasoned man finds something to fight for when he falls in love with an environmental activist protest his family ' sulphur job.""]",child,"['action', 'drama']",0.3182,1,1
3022,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",adult,"['sci-fi', 'thriller']",-0.7003,0,0
frasier,['Frasier Harold hart crane is a snooty but loveable Seattle psychiatrist world health organization dispenses advice on his call - in radio show while ignoring information technology in his own relationships.'],child,['comedy'],0.4497,0,1
once in a lifetime sessions with noel gallagher,"Between scenes from an intimate performance, the Oasis legend reflects on his road to stardom and offers insights on his creative process.",adult,['documentary'],0.4404,0,0
thousand junkies,"Things grow more and more desperate, and ridiculous, as three heroin addicts drive all over Los Angeles in search of what they need.",adult,"['comedy', 'drama']",-0.8325,0,0
clickbait,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",adult,['drama'],-0.8934,1,0
vincent n roxxy,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",adult,"['drama', 'thriller']",-0.8294,1,0
jfk the making of a president,"[""Research how John Atomic number 9. Kennedy ' s worldview equal influenced by his younger years, when helium wear pitiful health, syndicate tragedy and a demanding father.""]",child,['documentary'],-0.8555,0,1
beauty and the bitches,Beauty pageant contestants from all over Thailand fight for the crown as they contend with drama and intrigue behind the scenes.,adult,"['comedy', 'romance']",0.34,1,0
mandingo,"Based on the novel by Kyle Onstott, Mandingo takes the audience beyond the sentimentalized South of other films with uncompromising honesty and realism to show the true brutalizing nature of slavery, which made victims of both owner and slave.",adult,"['adventure', 'drama']",-0.4767,0,0
tell me who i am,"In this documentary, Alex trusts his twin, Marcus, to tell him about his past after he loses his memory. But Marcus is hiding a dark family secret.",adult,['documentary'],-0.34,0,0
çarsi pazar,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,adult,['comedy'],0.4939,0,0
atomic puppet,"Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan.",child,['comedy'],0.6124,0,1
my zoe,"Following a divorce, geneticist Isabelle is trying to rebuild her life. She has a new boyfriend and plans to revitalize her career. But ex-husband James can't accept this and makes her life difficult in the custody battle for their daughter Zoe. When a tragedy strikes, the already broken family's world is shattered...and Isabelle decides to take the girl's fate into her own hands.",adult,"['drama', 'sci-fi']",-0.9748,0,0
age of glory,"Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",adult,"['drama', 'romance']",0.5574,0,0
this changes everything,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.,adult,['documentary'],0.0,0,0
family reunion christmas,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,child,['comedy'],0.2023,0,1
zero tolerance,"Scott Adkins and Dustin Nguyen star in this gritty action-packed story about two friends on a quest for vengeance, leaving carnage in their wake.",adult,['action'],0.4767,0,0
best worst thing that ever could have happened,"The cast and crew of the 1981 Broadway musical ""Merrily We Roll Along"" recall joy and heartbreak during the production of a surefire hit that wasn't.",adult,['documentary'],0.6705,0,0
meditation park,An elderly immigrant matriarch from Hong Kong finally begins to break out of her shell of isolation when she suspects her husband of infidelity.,child,['drama'],-0.6249,0,1
my babysitters a vampire the movie,"When their parents head out for the evening, Ethan and his little sister get the babysitter of their nightmares: a fledgling vampire named Sarah.",child,['comedy'],0.0,0,1
nicky ricky dicky dawn,"[""But because they ' re quadruplets, that doesn ' t mingy these ten - yr - old always get on. But for all the tiff, they ' re loyal to the last.""]",child,['comedy'],0.631,0,1
dancing queens,"A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",adult,"['comedy', 'drama']",0.5994,0,0
club friday the series 7,More confessional tales of love and heartbreak play out in this next installment of the popular Thai TV series based on a real-life call-in radio show.,adult,"['drama', 'romance']",0.6908,0,0
princess bride,"[""You ' ve yet to hear the tale? Inconceivable! Join Westley (Carey Elwes) on his epic adventure to rescue the just Crowfoot (Erithacus rubecola Wright) from the clutches of the malign Prince Humperdinck (Chris Sarandon) in director Rob Reiner ' second delightful classic!""]",child,"['adventure', 'comedy', 'drama']",0.6688,0,1
our lady of san juan four centuries of miracles,"[""In this dramatisation, the Virgo the virgin Virgin mary works a miracle on a girl in 1623 Mexico. Iv centuries later, a fellowship make a pilgrim's journey for their ain baby.""]",child,['drama'],0.5859,0,1
bleak old shop of stuff,"Welcome to the adventures of Jedrington Secret-Past, upstanding family man and owner of The Old Shop Of Stuff, where he sells a plethora of miscellaneous odd things. But with every good-hearted hero, there must come a villain. Enter Malifax Skulkingworm - a lawyer with a heart of flint, an unusual evil hat and a decidedly sinister plan to ruin Jedrington and incarcerate his family.",child,['comedy'],-0.9586,0,1
parkers,"In this ""Moesha"" spinoff, undergraduate Kim is joined at Santa Monica College by her mother Nikki, who decides to go back to school with her daughter.",child,['comedy'],0.0,0,1
interview with god,"After an assignment in a war zone, a journalist trying to put his life back together is granted an interview with someone claiming to be God.",child,['drama'],-0.2023,1,1
psych,"['"" Psych, "" USA \' s long - running serial publication, replication for Season ogdoad! "" Psych "" star James Roday, Dulé Hill, Corbin Bernsen, Maggie Lawson, Timothy Omundson and Kirsten Nelson, who makes her directorial debut.']",child,['comedy'],0.0,0,1
big fat liar,"[""Junior high students Jason and Kaylee admit action when a greedy Hollywood producer turn Jason ' s essay into a hit picture without contribute him credit.""]",child,['comedy'],-0.6726,0,1
carrie,"An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",adult,['horror'],0.0516,0,0
paradox,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.,adult,['drama'],-0.5106,0,0
on the real,A group of reality stars transitions into their newly achieved fame while dealing with the demands of an obnoxious TV executive and their regular lives.,adult,['drama'],-0.0258,0,0
muppets,"When the Muppets learn that their beloved theater is slated for demolition, the gang reunite to raise the $10 million they need to save it.",child,['comedy'],0.7579,0,1
rockos modern life static cling,"['After 20 year in infinite, Rocko struggles to adjust to life in 21st century O - Townsfolk and makes information technology his mission to get his favorite display back on the air.']",child,['comedy'],0.128,0,1
undercover how to operate behind enemy lines,['This Existence Warfare II - era training film dramatizes how secluded agent should act while undercover and how to nullify capture by enemies.'],child,['documentary'],-0.8519,1,1
winters bone,"In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety.",adult,['drama'],-0.25,0,0
heartbreak kid,"Ben Stiller stars as a newlywed who marries a dreamy woman, only to learn on their honeymoon that she's a total nightmare.",adult,"['comedy', 'romance']",0.0,0,0
kevin hart dont fk this up,"Amid turmoil in his career and marriage, comedian and film star Kevin Hart opens up about his personal breakthroughs as he navigates crises and fame.",adult,['documentary'],0.4588,0,0
roped,['A headliner cowboy in a locomote rodeo get thrown murder course when he fall in love with the daughter of a tough - heed town councilman.'],child,"['drama', 'romance']",0.6369,0,1
prince of tennis match tennis juniors,A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.,child,['drama'],0.7003,0,1
psychic kids children of the paranormal,"Psychic Kids: Children of the Paranormal profiles children who live with an incredible secret: they have psychic abilities. Feeling scared and isolated, they have nowhere to turn.",child,"['documentary', 'drama']",-0.4019,0,1
woodshock,"Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.",adult,"['drama', 'thriller']",-0.9246,1,0
bside elsa dorfmans portrait photography,"Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike.",adult,['documentary'],0.0,0,0
arctic dogs,"[""When helium stumbles upon evil Otto Von Walrus ' s scheme to melt the Golosh, challenging rescue fox Swifty assembles a ragtag crew to protect the major planet.""]",child,['comedy'],0.0772,0,1
naruto the movie 2 legend of the stone of gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",child,['action'],-0.743,0,1
physical evidence,A police officer suspended and now accused of murder is forced to join forces with his court-appointed attorney to assemble the pieces of a deadly puzzle to find the missing link before time runs out.,adult,['romance'],-0.9186,1,0
nisman the prosecutor the president and the spy,"This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.",adult,['documentary'],-0.7506,1,0
greenhouse academy,"When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.",child,['drama'],0.3182,0,1
enemigo íntimo,"Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",adult,['drama'],-0.9246,1,0
perfect sleep,"Against the backdrop of a noirish dreamscape, a tortured man returns to the city he swore he would never return to, in order to save the woman he has always loved yet can never have.",adult,"['action', 'drama']",0.5423,0,0
aftermath,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history.",adult,['horror'],-0.8176,0,0
cult of chucky,"Following a string of murders in the asylum where she's confined, Nica Pierce begins to wonder whether Chucky is real after all.",adult,['horror'],-0.6124,1,0
band aid,"A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor.",adult,"['comedy', 'drama']",0.4939,1,0
moving on,"['Family problems, relationship issues and professional challenges dog law grad Genus melissa Chan follow her return from Jack london to Malaya.']",child,['drama'],-0.34,0,1
how i became a superhero,"In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers.",adult,"['action', 'drama']",0.2023,0,0
acod,"Meet Carter, a seemingly well-adjusted Adult Child of Divorce. After surviving his parents' divorce, Carter has a successful career and supportive girlfriend. But when his brother gets engaged, Carter must reunite his bitterly divorced parents for the wedding.",adult,"['comedy', 'drama']",0.4854,0,0
sleepless society two pillows a lost soul,A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,adult,['drama'],-0.7783,0,0
tread,This documentary reconstructs the pivotal moments that drove a man on a rampage to destroy a small town with a bulldozer he fortified in secret.,adult,['documentary'],-0.5423,0,0
marvel super hero adventures frost fight,"[""In this Christmastide - theme special, Senior pilot America and the Avengers battle Loki and Ymir, world health organization plot to steal Santa Claus ' mightiness and conquer the world.""]",child,['sci-fi'],-0.4767,0,1
liberty stands still,"A gunman ties up an actor and locks him in his dressing room just before a performance. He also puts a bomb with a 90-minute timer next to the actor. Over the next 90 minutes, the story unfolds: as a result of his daughter's death, the gunman wants a public debate on the Second Amendment.",adult,"['action', 'drama']",-0.7964,1,0
year of happiness and love,"[""Jiang Chen - bo is a loser without prospects for success, until a surprise promotion becomes the accelerator for his intact family ' s upturn in fortune.""]",child,"['comedy', 'romance']",-0.734,0,1
mad for each other,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",adult,"['comedy', 'romance']",-0.0258,0,0
free willy,"Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.",child,['drama'],-0.6808,1,1
decline,An accident at a remote training camp leaves a group of survivalists bitterly divided — and caught in a brutal fight for their lives.,adult,['action'],-0.9153,1,0
227,"In a world gone ""condo,"" apartment building 227 is much more than just a street address – it's a haven from the fast-paced life of Washington D.C. for its many tenants. Through the good times and the bad, through rent hikes and garbage strikes, the tenants of 227 are a close-knit, tough, not always harmonious family, and Mary Jenkins is the ""thread"" that keeps them together.",child,['comedy'],-0.7253,0,1
dreamworks spooky stories volume 2,"The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom.",child,['comedy'],-0.6486,0,1
cycle,"['When his prized bike is stolen, an astrologer ’ s search grow into a journey of self - realization — while the thieves watch a few lesson of their own.']",child,"['comedy', 'drama']",-0.4767,0,1
mars,Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.,child,"['documentary', 'drama']",0.0,0,1
hitlers olympics,"Hitler, Nazi propaganda and 1936 Berlin Olympics are put under the microscope to uncover hidden truths and the historical legacy of those games.",child,['documentary'],0.2023,0,1
ruthless,A rebellious teen grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta Mafia in the 1980s.,adult,['drama'],-0.4186,0,0
drunk stoned brilliant dead the story of the national lampoon,"From 1970s-1990s, the hippest and most outrageous comedy in print was the National Lampoon. The groundbreaking humor magazine pushed the limits of taste and acceptability.",adult,['documentary'],0.399,0,0
as above so below,A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,adult,"['horror', 'thriller']",0.2263,0,0
fantastica,The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.,child,['comedy'],0.743,0,1
life plan a and b,Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.,child,"['drama', 'romance']",0.8555,0,1
fear factor,"Hosted by Marc Yellin, this U.S. import is tailored for Australian viewers. Similar in format to the original version, contestants have to make it to the finals before they can compete for prize money. The winner of the finals receives AU $50,000.",child,['action'],0.8555,0,1
10 rillington place,"['Based on the real - life character of the British serial slayer John Agatha christie, and what pass off to his neighbors Tim and Beryl Evans.']",child,"['action', 'drama']",-0.6486,1,1
sitara let girls dream,"In this silent short set in 1970s Pakistan, 14-year-old Pari longs to be a pilot, unaware that her father plans to marry her off to a much older man.",child,['drama'],-0.2023,1,1
viking destiny,"Framed for her father’s murder, an exiled Viking princess is guided by the god Odin as she prepares to return to her kingdom and reclaim the throne.",adult,"['action', 'sci-fi']",-0.5574,1,0
sunshine superman,"A heart-racing documentary portrait of Carl Boenish, the father of the BASE jumping movement, whose early passion for skydiving led him to ever more spectacular -and dangerous- feats of foot-launched human flight.",child,"['action', 'adventure', 'documentary']",-0.0935,0,1
meltdown,"After failing to save his wife from 'The Doctor', Kit Li begins working as a bodyguard and secret stunt double for the cowardly martial arts film star Frankie Lane. Frankie attends an exhibition of the crown jewels of Russia at a Hong Kong hotel, and when The Doctor's gang take over the building in attempt to steal them, Kit is the only thing standing in their way.",adult,"['action', 'adventure', 'comedy']",-0.4404,1,0
dog who saved halloween,"The Bannisters have moved into their new home just in time for Halloween, but strange lights from a neighbor's house and a scary canine (voiced by Mayim Bialik) make their talking dog, Zeus (voiced by Joey Lawrence), take a closer look.",child,"['action', 'comedy']",-0.7579,0,1
miss sloane,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.,adult,['thriller'],0.3431,0,0
sicilian ghost story,"When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves.",adult,"['drama', 'thriller']",0.5719,0,0
witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",adult,"['action', 'drama']",-0.5709,1,0
kid cosmic,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,child,"['comedy', 'sci-fi']",0.6966,0,1
mile 22,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail.",adult,['action'],0.8074,0,0
tukaram,['A kid whose artlessness and idolatry set him aside from the other children of his small town grows up to make up one of the frontmost saints of Republic of india.'],child,['drama'],0.6808,0,1
homeland,"Determined to trace her ancestral history, an Armenian woman travels to a French village, where she befriends a kind man and, better yet, finds herself.",child,['drama'],0.8271,0,1
bandie,"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.",child,"['action', 'drama']",-0.6956,0,1
black friday,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.,adult,['drama'],0.0,0,0
little singham bandarpur mein hu ha hu,"Little Singham's sidekick monkey, Chikki, is stuck in the magical land of Bandarpur! Can the kid cop save his beloved pet before danger strikes?",child,['comedy'],-0.1759,0,1
child genius,"Child Genius is part docu-soap, part competition. The series will bring us into a world where children far surpass their parents when it comes to brain power.",child,"['documentary', 'drama']",0.0,0,1
little red wagon,"['Little Red Wagon is based on the true story of eight year erstwhile Zach Bonner on his quest to change the world with nothing more than than his beat - up reddish waggon and a blazing flavour of philanthropy. When Zach sets out to help homeless shaver in America, by walking from his family in Tampa, Everglade state to the White House, he must overcome bureaucrats and blisters and capture the hearts of the entire land.']",child,['drama'],0.7351,0,1
mahjong heroes,"['In this comedy, type from all walks of liveliness hold up heading - to - head around the mahjong table in a gamey - wager contest of unlike playing styles.']",child,['comedy'],0.5106,0,1
june kopi,"A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home.",child,['drama'],0.5994,0,1
last bastion,"The Robles family, born and raised in the Americas, experiences the highs and lows of the revolutionary drive to Peru's independence.",adult,['drama'],-0.2023,0,0
wishmaster 2 evil never dies,"Evil has been summoned once again when the Djinn is freed from his prism by a burglar. Fearing for the fate of humanity, the burglar seeks the aid of her former lover to combat the Djinn.",adult,['horror'],-0.6124,0,0
barakah meets barakah,A laid-back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions.,adult,"['comedy', 'romance']",0.0516,0,0
iboy,"When shards of a cell phone get lodged in a teenager's brain, he discovers he can control electronic devices and uses his newfound power for revenge.",adult,"['sci-fi', 'thriller']",-0.5267,0,0
before the flood,['Leonardo DiCaprio crisscrosses the globe to investigate the consequences of man - made ball warm and the measures follow taken to overthrow it.'],child,['documentary'],0.1531,1,1
catfight,Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.,adult,['comedy'],-0.7896,1,0
bitter daisies,"While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.",adult,['drama'],-0.3182,0,0
poacher,A daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games.,adult,"['drama', 'thriller']",-0.8402,1,0
hotel for dogs,"[""Placed in a foster home that doesn ' t allow pet, 16 - yr - old Andi and her unseasoned brother Sir david bruce turn an derelict hotel into a habitation for their blackguard.""]",child,['comedy'],-0.567,0,1
malcolm marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",adult,['drama'],-0.4404,1,0
end game,"Facing an inevitable outcome, terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death.",child,['documentary'],-0.7717,1,1
outlaw josey wales,"In this gritty Oscar-nominated Western, an ex-Confederate soldier on the run comes to rest in a quiet community, where he falls for a pretty settler.",child,['action'],0.4939,0,1
loud house movie,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!",child,['comedy'],0.0,0,1
brawler,"Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",adult,['drama'],0.5423,0,0
anima,"['In a short melodious flick directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a head - bending ocular piece. Best play loud.']",child,['drama'],0.765,0,1
i think you should leave with tim robinson,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,adult,['comedy'],0.0772,0,0
is there anybody there,"Join Clairvoyant Melissa Williams and paranormal investigator Chris Howley in their pilot series looking for evidence of the after life. Each knock, bump and whisper is witnessed and analysed from two totally different perspectives - the sceptic and the spiritualist. The rest is down to you to decide.",adult,"['documentary', 'drama']",0.0516,0,0
ghost who walks,"Desperate to meet his daughter, a convict cuts a deal by ratting out his old boss. Free and searching for his family, he must dodge a hit on his life.",adult,"['drama', 'thriller']",-0.0516,0,0
endless summer,"['They call it The Endless Summertime; the ultimate surfing adventure, crossing the orb in hunt of the sodding waving.']",child,['documentary'],0.7184,0,1
dragons rescue riders,"['Twins Dak and Leyla and their dragon friends devote their living to rescuing others, defending their rest home of Huttsgalor and having fun along the manner.']",child,['comedy'],0.8316,0,1
wolf,"Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home.",adult,"['action', 'drama']",-0.8834,0,0
conjuring spirit,"In the wake of her husband's betrayal, a novelist and mother moves to an old building, where she receives a music box and encounters a strange spirit.",adult,"['horror', 'thriller']",-0.5994,0,0
dayveon,"Following the shooting death of his older brother, a depressed and aimless 13-year-old boy falls in with a gang in rural Arkansas.",adult,['drama'],-0.802,1,0
ice soldiers,A scientist discovers the bodies of three frozen genetically modified Russians buried in the Canadian North. Upon thawing them out he realizes he has unleashed a deadly threat to Western society and must stop them at all costs.,adult,['action'],-0.6808,0,0
rooting for roona,"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey.",child,['documentary'],0.25,0,1
kings speech,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",adult,['drama'],-0.5267,0,0
anon,"In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records.",adult,"['drama', 'sci-fi', 'thriller']",-0.296,0,0
fantastica,['The owner of a struggle carnival jump putting on little - sentence shows to keep his wonderland as an old friend asks for help with a magical mission.'],child,['comedy'],0.743,0,1
tatu,"Doubting her future as a nun, a woman attempts to have a child, triggering a mystic tribal prophecy that could force her to make a godly sacrifice.",adult,"['action', 'drama']",-0.34,0,0
boys in the band something personal,"Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",adult,['documentary'],0.34,0,0
genius of the modern world,"['Historian Bettany Hughes explores the intellectual landscapes that helped shape the workplace of Karl Marx, Friedrich Friedrich wilhelm nietzsche and Sigmund Freud.']",child,['documentary'],0.5106,0,1
george of the jungle 2,"Now married and raising a son, clumsy ape-man George finds his jungle kingdom in peril as Really Mean Lion challenges him for the throne.",child,['comedy'],-0.2815,0,1
sergio,"Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",adult,['drama'],-0.3612,0,0
joker,['A outside greenwich village situated neither in India or Islamic republic of pakistan becomes its own democracy after convict at the local mental asylum binge loose and take ended.'],child,['comedy'],-0.3182,0,1
jesse stone stone cold,"Jesse Stone (Selleck) is a New England police chief investigating a series of murders, in an adaptation of Robert B. Parker's novel.",adult,['action'],-0.4019,1,0
lenox hill,Four doctors at New York's storied Lenox Hill Hospital balance their personal lives and their dedication to their patients in this documentary series.,adult,['documentary'],0.0,0,0
masameer county,"A humorous view on a changing Saudi, this season includes stories about a global media war, a long-standing tribal feud and a health craze gone too far.",adult,['comedy'],-0.6486,1,0
si doel the movie,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",child,['drama'],-0.3071,0,1
street food,['Embark on a global ethnic journeying into street food and discover the stories of the masses world health organization create the flavorful dish aerial.'],child,['documentary'],0.2732,0,1
in a valley of violence,"After a quiet drifter is met with violence and bullying in a small town, he finds himself enmeshed in a vengeful struggle with the local marshal.",adult,['action'],-0.8834,1,0
stealing history,"['Diarist reveal how smugglers, dealer, gatherer and scholars promote plunder of ancient artifacts from state of war - torn Republic of iraq, Afghanistan and Islamic republic of pakistan.']",child,['documentary'],-0.1027,1,1
family reunion christmas,"[""Metre ' Dear and her sisters struggle to observe their tattle act together before a church Yule pageantry while Grandpa teaches the nipper a worthful moral.""]",child,['comedy'],0.2023,0,1
airplane mode,"When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",child,"['comedy', 'romance']",-0.4588,0,1
day of destiny,"['With their family facing fiscal woes, two adolescent brothers seize an chance to reverse their defective fortunes by traveling 20 years back in metre.']",child,['drama'],-0.5574,0,1
world we make,"['A teenage equestrian and a local football player fall for each former, but simmering racism in their small town order their relationship to the psychometric test.']",child,"['drama', 'romance']",-0.7684,0,1
painted faces,"[""In this dramatized rendering, scholarly person undergo rigorous study at Master Yu ' sec Peking Opera house school, a place of origin for future Hong Kong film stars.""]",child,['drama'],-0.2732,0,1
cut bank,A small-town dreamer is sure he's landed on a gold mine after accidentally filming a murder but is sucked into a violent tale of greed and deception.,adult,"['drama', 'thriller']",-0.9668,1,0
fearless,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,child,['comedy'],0.0,0,1
explorers,This adventurous space tale stars Ethan Hawke and young star River Phoenix as misfit best friends whose dreams of space travel become a reality when they create an interplanetary spacecraft in their homemade laboratory and embark on a secret adventure to another galaxy where they find that things are not always as different as they seem.,child,"['adventure', 'sci-fi']",0.9413,0,1
garfields pet force,"['When an stranger threat and her usa of undead minions jeopardize to enslave the world, James garfield heads a team of funny - strip superheroes to save the mean solar day.']",child,['comedy'],-0.7717,0,1
up among the stars,"A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond.",adult,"['drama', 'sci-fi']",-0.875,1,0
princess bride,You've yet to hear the tale? Inconceivable! Join Westley (Carey Elwes) on his epic adventure to rescue the fair Buttercup (Robin Wright) from the clutches of the evil Prince Humperdinck (Chris Sarandon) in director Rob Reiner's delightful classic!,child,"['adventure', 'comedy', 'drama']",0.6688,0,1
doctor foster,"When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession.",adult,['romance'],-0.8126,0,0
dr seuss the grinch,A grump with a mean streak plots to bring Christmas to a halt in the cheerful town of Whoville. But a generous little girl could change his heart.,child,['comedy'],0.7717,0,1
mako mermaids an h2o adventure,"This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island.",child,['comedy'],-0.6124,0,1
earths natural wonders,Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,child,['documentary'],-0.796,0,1
