norm_title,description,genres,audience_group
dating around brazil,"In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?",['romance'],teen
down to earth with zac efron,"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.",['documentary'],child
mamas boy,A man undergoes a heart transplant following a serious injury and begins to take on some of the donor's motherly characteristics.,['comedy'],teen
claudia kishi club,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.",['documentary'],teen
epic tales of captain underpants in space,Best friends George and Harold — along with their classmates and tyrannical principal — are recruited for a mysterious mission in outer space.,"['action', 'comedy']",child
old guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,['action'],adult
twelve,Twelve jurors — ordinary people with struggles of their own — must decide the case of a woman accused of killing her best friend and her own daughter.,['drama'],adult
your excellency,"Bumbling through politics, a billionaire businessman's presidential campaign seems destined for disaster until it gets a boost from social media.",['comedy'],child
protector,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","['action', 'romance']",adult
was it love,"When four very different men appear in her life, a single mother who hasn't dated in years begins to rediscover love — and herself.",['romance'],teen
born racer,"In this all-access pass, IndyCar champion Scott Dixon and his team navigate the risks on the road in the quest to win it all.",['documentary'],adult
mucho mucho amor the legend of walter mercado,"Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened.",['documentary'],teen
stateless,"Four strangers — a woman on the run, a brave refugee, a driven bureaucrat and a struggling dad — intersect at an Australian immigration detention center.",['drama'],adult
long dumb road,"Bound for art school, a sheltered student gets roped into the antics of a freewheeling mechanic who hitches a ride after fixing his car.",['comedy'],adult
kid from coney island,"From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.",['documentary'],adult
aiyyaa,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",['comedy'],teen
bbuddah hoga terra baap,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job.","['action', 'comedy', 'drama']",teen
blood money,"Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.","['drama', 'romance']",teen
bombay talkies,"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish.",['drama'],adult
boss,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.","['action', 'comedy', 'drama']",teen
budhia singh born to run,"In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner.",['drama'],adult
chashme baddoor,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",['comedy'],teen
dharam sankat mein,"After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest.","['comedy', 'drama']",child
drishyam,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.,"['drama', 'thriller']",teen
gabbar is back,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.","['action', 'drama']",teen
gollu aur pappu,"Hapless brothers Gollu and Pappu stumble into a terrorist plot and end up being ordered to detonate a bomb, a task they are destined to bungle.","['action', 'comedy']",teen
hook,"Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.","['comedy', 'romance']",adult
inkaar,"An ad agency CEO is put under investigation when his ambitious protégée – and lover – accuses him of sexual harassment, vying for his top position.","['drama', 'romance']",adult
madras café,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,"['drama', 'thriller']",teen
mary kom,The daughter of a poor rice farmer overcomes the objections of her father and the demands of a male-dominated society to pursue a career in boxing.,['drama'],child
michael,"After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together.",['drama'],adult
mumbai delhi mumbai,"In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her.","['comedy', 'romance']",adult
oh my god,Mumbai shopkeeper Kanji Bhai files a lawsuit against God when an earthquake destroys his store and his insurance policy won't cover the damage.,"['comedy', 'drama']",child
one by two,The lives of a Mumbai man and woman who are both dealing with issues intersect through a TV dance show that she wants to win but he wants to sabotage.,"['comedy', 'drama']",teen
only,A couple must endure a self-imposed quarantine and elude authorities after a mysterious virus proves lethal to the world’s female population.,"['drama', 'romance']",adult
penalty,"At a Lucknow college, an aspiring football player’s dream of playing nationally is threatened when he faces discrimination for his Manipuri background.",['drama'],teen
pyaar ka punchnama 2,Three young bachelors find the reality of relationships to be far removed from the idea of true romance that they had once pursued.,"['comedy', 'drama']",adult
shaitan,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.","['action', 'drama']",adult
special 26,"In this fact-based crime drama, a gang of con artists posing as government officials executes a heist in the form of a raid on a prominent jeweler.","['drama', 'thriller']",child
tanu weds manu,"When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams – only to discover she loves another man.","['comedy', 'drama']",teen
what the fish,A crabby woman leaves home for a vacation and entrusts her niece's fiancé to feed her fish and adhere to a strict set of rules. He has other ideas.,['comedy'],teen
little singham,"A spinoff of Rohit Shetty's action franchise, this animated series follows brave kid cop Little Singham’s adventures as he defends his town from evil.",['comedy'],child
cable girls,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.",['romance'],adult
desperados,"After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it.","['comedy', 'romance']",adult
hunter in the blue side of manchester,"To honor his father, a diligent college graduate takes on the daunting goal of becoming a reporter for an English Premier League soccer club.",['drama'],adult
i am not your negro,"Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr.",['documentary'],teen
juon origins,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.,['horror'],adult
babysitters club,Ann M. Martin's beloved books get a modern update in this series that follows a group of girlfriends and their homegrown babysitting business.,['drama'],child
perfect picture ten years later,"From flawed husbands to shaky finances, new complications test a close circle of friends who must lean on each other in a new decade of their lives.","['comedy', 'drama']",adult
warrior nun,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.","['action', 'sci-fi']",adult
annefrank parallel stories,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",['documentary'],teen
touch of green,"Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",['drama'],adult
adú,"Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",['drama'],adult
ali baba ve 7 cüceler,"A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss.","['action', 'comedy']",adult
david foster off the record,"From child prodigy to iconic music producer, David Foster shares the stories behind his success with rare footage and interviews with his collaborators.",['documentary'],adult
double jeopardy,"After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good.",['thriller'],adult
pek yakında,"An ex-movie extra plans to win his wife back by making a fantasy film, but neither he nor his crew has a knack for filmmaking.",['comedy'],adult
say i do,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.",['romance'],teen
stardust,"To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form.","['action', 'romance']",teen
fkit list,"After a prank blows up a studious high school senior's life, he shares a list of certain things he wishes he'd done differently — and maybe still can.",['comedy'],adult
silence of others,"Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice.",['documentary'],teen
total recall,"After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars.","['action', 'sci-fi']",adult
under the riccione sun,"While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes.","['comedy', 'romance']",adult
homemade,"Acclaimed filmmakers from around the world channel their creativity during COVID-19 isolation with this diverse, genre-spanning collection of short films.",['drama'],adult
mirror boy,"A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery.","['action', 'drama']",teen
friendbutmarried 2,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.","['drama', 'romance']",child
skin,"On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",['documentary'],adult
thackeray,"This biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray, from controversial cartoonist to powerful Mumbai politician.",['drama'],teen
dark,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,['drama'],adult
ride like a girl,"The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story.",['drama'],child
all for love,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",['romance'],adult
eurovision song contest the story of fire saga,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.","['comedy', 'romance']",teen
home game,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",['documentary'],adult
kasanova,"After losing his wife, a single father indulges in flimsy flings until he meets his son's music teacher, who imparts a few lessons on love.","['comedy', 'romance']",teen
ordinary people,"Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped.",['drama'],adult
krishna and his leela,"Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit.",['romance'],adult
prem ratan dhan payo,"While recovering from an assassination attempt four days prior to his coronation, a stern prince is replaced by a joyful and generous doppelgänger.","['action', 'drama']",teen
vivah,"Set up for an arranged marriage, a young couple enjoys an old-fashioned courtship, until an accident days before their wedding tests their nascent love.","['drama', 'romance']",teen
athlete a,This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.,['documentary'],teen
bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",['horror'],adult
nobody knows im here,"A former child singer, traumatized by his experiences, becomes a recluse, nurturing his hurt until a woman comes into his life and really hears him.",['drama'],adult
roswell new mexico,"After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner.","['drama', 'sci-fi']",teen
kappela,"Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.",['drama'],teen
royal hibiscus hotel,A disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property.,"['comedy', 'romance']",child
its okay to not be okay,An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,['romance'],adult
woodshock,"Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.","['drama', 'thriller']",adult
elevator baby,"A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",['drama'],adult
babies,"From nature to nurture, this docuseries explores the groundbreaking science that reveals how infants discover life during their very first year.",['documentary'],teen
chaman bahaar,"A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.","['comedy', 'drama']",adult
destiny,"In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval.",['drama'],teen
disclosure,"In this documentary, leading trans creatives and thinkers share heartfelt perspectives and analysis about Hollywood's impact on the trans community.",['documentary'],adult
feel the beat,"After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.","['comedy', 'drama']",child
lost bullet,"Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.","['action', 'drama']",adult
most beautiful thing,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club.","['drama', 'romance']",adult
oneway to tomorrow,"Two strangers cross paths on a train en route to Izmir, bonding over their turbulent — and unexpectedly intertwined — romantic pasts.","['drama', 'romance']",adult
emigrant,Ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic Egypt mired in political intrigue. Based on a biblical story.,['drama'],teen
politician,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,"['comedy', 'drama']",adult
wasp network,"Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost.","['drama', 'thriller']",adult
alexandria why,"Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood.",['drama'],adult
alexandria again and forever,"At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis — but finds a new muse.",['drama'],adult
egyptian story,"While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.",['drama'],adult
cairo station,A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,['drama'],teen
dark waters,"A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",['drama'],teen
el límite infinito,"From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",['documentary'],child
lola igna,An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.,['comedy'],teen
one take,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,['documentary'],child
saladin,The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.,"['action', 'drama']",adult
stray bullet,"In 1976 Beirut, after a rendezvous with her old flame, soon-to-wed Noha witnesses a violent incident and changes course on a path to self-realization.","['drama', 'romance']",adult
blazing sun,Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,['drama'],teen
land,A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.,['drama'],adult
nut job,"When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.",['comedy'],child
order,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.","['drama', 'horror']",adult
evening with beverly luff linn,"When an unhappily married woman discovers a man from her past has a role in a local theater production, she'll do anything to reconnect with him.",['comedy'],adult
riding faith,"Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.",['drama'],child
last flight to abuja,"When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events.",['drama'],teen
darkness,"After bringing home a set of mysterious stones from the Grand Canyon, a boy unleashes an ancient force that begins to terrorize his family.","['horror', 'thriller']",teen
show must go on the queen adam lambert story,"With rare footage and candid interviews, this documentary details the serendipitous pairing of legendary rock band Queen and powerhouse Adam Lambert.",['documentary'],adult
wira,"After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.","['action', 'drama']",teen
4th republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.","['drama', 'thriller']",adult
alexa katie,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.",['comedy'],child
asura guru,"For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.",['drama'],teen
how to get away with murder,"Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case.",['drama'],teen
milea,"Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.","['drama', 'romance']",teen
axone,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.","['comedy', 'drama']",adult
da 5 bloods,Four African American veterans return to Vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. From Spike Lee.,"['action', 'drama']",adult
dating around,"In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.",['romance'],adult
f is for family,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",['comedy'],adult
woods,Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.,['drama'],adult
from a to b,"To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.","['comedy', 'drama']",adult
menahi,"A stranger to civilian life, a young Saudi farmer travels to Dubai, where he experiences a series of hilarious misadventures.",['comedy'],teen
curon,"After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy.","['drama', 'horror']",adult
dcs legends of tomorrow,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.","['action', 'sci-fi']",teen
lenox hill,Four doctors at New York's storied Lenox Hill Hospital balance their personal lives and their dedication to their patients in this documentary series.,['documentary'],adult
middle men,"An entrepreneur develops an adult entertainment online billing company – and winds up dealing with mobsters, the FBI, con men and terrorists.","['comedy', 'drama']",adult
reality z,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes.",['horror'],adult
witch part 1 the subversion,The life of a seemingly ordinary high school student with a mysterious past is turned upside down when a group of strangers show up and wreak havoc.,"['action', 'sci-fi']",adult
before i fall,"Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life.","['drama', 'romance']",teen
365 days,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.","['drama', 'romance']",adult
forensic,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.",['thriller'],teen
project papa,"When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.",['drama'],teen
queen of the south,"Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive.","['action', 'drama']",adult
night clerk,"After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.",['drama'],adult
13 reasons why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",['drama'],adult
before the summer crowds,"Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.",['drama'],teen
big stone gap,A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.,"['comedy', 'romance']",teen
choked paisa bolta hai,A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.,['drama'],teen
merry men 2 another mission,"To save a kidnapped loved one, a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist.",['comedy'],adult
supernatural,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.","['action', 'horror']",teen
last days of american crime,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.","['action', 'drama']",adult
light of my eyes,A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend — the doctor who restored her sight.,"['drama', 'romance']",adult
hot sweet sour,"In love since childhood, a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single.","['drama', 'romance']",teen
overnight republic,"A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",['comedy'],adult
lady bird,"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.","['comedy', 'drama']",adult
spelling the dream,"Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S.",['documentary'],child
andaleeb el dokki,"Aiming for fame, a struggling singer finds his long-lost millionaire twin and falls for his brother's secretary as a plot brews to steal the fortune.",['comedy'],teen
lets dance,"Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film “Shall We Dance?”","['comedy', 'drama']",teen
lifes speed bump,"Seeking job opportunities, a young man arrives in Cairo and becomes increasingly involved with the family of a wealthy businessman.",['comedy'],teen
mr romantic,"When a carefree man is left with his uncle's fortune, he can only receive the riches on one condition: he must settle down with a good woman.","['comedy', 'romance']",teen
my horrible grandma,"As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.","['comedy', 'drama']",adult
sorry to disturb,"After losing his father, a genius yet troubled aviation engineer suffering from loneliness tackles a complex project: love.",['drama'],teen
student cop,"Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected.","['action', 'comedy']",teen
whats up,"Flirting with modernity, a young woman must keep her new romance a secret from her conservative brother, who plans to keep her in line with tradition.","['comedy', 'drama']",child
x large,"After he is rejected by the woman he loves and obesity-related issues kill his uncle, a lonely, overweight artist undergoes a major transformation.","['comedy', 'romance']",teen
122,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",['horror'],adult
chippa,"At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read.","['comedy', 'drama']",teen
cook off,"Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show.","['comedy', 'romance']",child
dear my friends,Life is ever-delightful — and ever-challenging — for a group of friends in their twilight years as they rediscover themselves through love and family.,['drama'],adult
kalek shanab,"After a wild night of partying on the town, three buddies wake up to discover they've caused a whole mess of trouble — but can't remember how.",['comedy'],child
midnight diner,"A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs.",['drama'],adult
mirai,"Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house.",['action'],child
my shy boss,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,['romance'],adult
revolutionary love,A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.,['romance'],adult
disaster artist,"Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.","['comedy', 'drama']",adult
stolen,A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.,['drama'],teen
high strung free dance,A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.,"['drama', 'romance']",teen
freej al taibeen,"Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.","['comedy', 'drama']",child
space force,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,['comedy'],adult
other,"When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.","['drama', 'romance']",adult
cant cope wont cope,"In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off.","['comedy', 'drama']",adult
grandmothers farm,A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party.,"['comedy', 'horror']",teen
grandmothers farm part 2,"After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah — and right into more terror.","['comedy', 'horror']",teen
intuition,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".","['drama', 'thriller']",adult
mako mermaids an h2o adventure,"This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island.",['comedy'],child
im no longer here,"A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.",['drama'],adult
ne zha,"Bound by a divine mandate, rebellious outcast Ne Zha grapples with his formidable powers and a destiny that would imperil his loved ones.","['action', 'comedy']",teen
supergirl,"To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.","['action', 'sci-fi']",teen
uncut gems,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.","['drama', 'thriller']",adult
betaal,"Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies.","['action', 'horror']",adult
dynasty,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.,['drama'],teen
one day well talk about today,"Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.",['drama'],child
si doel the movie 3,"Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.",['drama'],child
history 101,"Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",['documentary'],teen
living in bondage breaking free,"Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.","['horror', 'thriller']",adult
lovebirds,"When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.","['action', 'comedy', 'romance']",adult
trailer park boys the animated series,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",['comedy'],adult
friendbutmarried,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","['drama', 'romance']",child
bye bye london,"In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.","['comedy', 'drama']",teen
fifty year old teenager,The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager.,['comedy'],teen
lock your girls in,A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love.,"['comedy', 'romance']",child
mujeres arriba,"A trio of best friends — a carefree bachelorette, a passionate mom and a perfectionist girlfriend — try to spice up their sex lives with their partners.","['comedy', 'romance']",teen
mystic popup bar,A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.,['comedy'],adult
no longer kids,"Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him.","['comedy', 'drama']",teen
raya and sakina,"When robberies and murders targeting women sweep early 20th-century Egypt, the hunt for suspects leads to two shadowy sisters. Based on a true story.","['comedy', 'drama']",teen
sayed the servant,"While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme.",['comedy'],teen
married couples,"Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind.","['comedy', 'romance']",teen
school of mischief,A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results.,"['comedy', 'drama']",teen
witness who didnt see anything,"Pressured by cops into testifying as an eyewitness to a neighbor's murder, a children's TV host takes on a new persona after the trial.",['comedy'],child
anchor baby,A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship.,['drama'],adult
especial 20 años fútbol de primera,"Revisit the emotional bouts and memorable highlights from the past two decades in this special celebrating esteemed TV show ""Fútbol de Primera.""",['documentary'],teen
honeytrap,"New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.",['drama'],adult
i will follow,"Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.","['drama', 'romance']",teen
mutiny of the worker bees,"When Omar's grandfather forces him to get a job at a tech company in Mexico City, he meets a quirky ensemble of nine-to-fivers ... and some nemeses.",['comedy'],adult
